X,Y,OBJECTID,STOPID,STOPCODE,STOPNAME,STOPDESC,LOCATIONTYPE,STOPLAT,STOPLON,PARENTSTATION,MODE
174.777789999707721,-36.878423887771,1749005,1512,1512,Margot St and Clyde St,,Stop,-36.87842389,174.77779,11617,School Bus
174.849980000219176,-36.852832499432552,1749006,1514,1514,Speight Rd outside St Ignatius School,,Stop,-36.8528325,174.84998,31058,School Bus
174.795936667121509,-36.883478332630617,1749007,1516,1516,Clonbern Rd Hail and Ride,,Stop,-36.88347833,174.79593667,31403,School Bus
175.028767222274752,-36.798884720917862,1749008,1533,1533,Waiheke High School,,Stop,-36.79888472,175.02876722,11844,School Bus
175.027821111353234,-36.801802221216469,1749009,1535,1535,Te Huruhi School,,Stop,-36.80180222,175.02782111,11844,School Bus
175.033313888946822,-36.787614443423109,1749010,1537,1537,Pacific Parade Opp George St,,Stop,-36.78761444,175.03331389,61099,School Bus
174.719104166447096,-36.866099721085462,1749011,1540,1540,Motions Rd opp Pasadena School,,Stop,-36.86609972,174.71910417,11839,School Bus
174.653091943924096,-36.881152221191734,1749012,1615,1615,Tirimoana Rd opp Arohanui Special School,,Stop,-36.88115222,174.65309194,21783,School Bus
174.652904722204568,-36.881316943811726,1749013,1620,1620,Tirimoana Rd by Arohanui Special School,,Stop,-36.88131694,174.65290472,21783,School Bus
174.581289722497871,-36.930347776884048,1749014,1623,1623,Opp 362 Forest Hill Rd,,Stop,-36.93034778,174.58128972,21801,School Bus
174.582735832910629,-36.924858888003797,1749015,1625,1625,307 Forest Hill Rd,,Stop,-36.92485889,174.58273583,21243,School Bus
174.63624638938586,-36.887183610145279,1749016,1638,1638,Holy Cross School,,Stop,-36.88718361,174.63624639,21852,School Bus
174.828203055288185,-36.907919721415198,1749017,1701,1701,179 Penrose Rd,,Stop,-36.90791972,174.82820306,11724,School Bus
174.79932916642997,-36.886409443634065,1749018,1712,1712,70 St Vincent Ave,,Stop,-36.88640944,174.79932917,11816,School Bus
174.805980000390491,-36.886316665360454,1749019,1713,1713,Peach Pde near Grand View Rd,,Stop,-36.88631667,174.80598,31398,School Bus
